"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Department of Health and Human Services","Agency Overall","2011","161","123.83","284.83"
"U.S. Agency for Global Media","Agency Overall","2011","0","1.20","1.20"
"United States Postal Service","Agency Overall","2011","11","31.25","42.25"
"Department of the Treasury","Agency Overall","2011","37","85.30","122.30"
"Tennessee Valley Authority","Agency Overall","2011","1","0.50","1.50"
"Office of the United States Trade Representative","Agency Overall","2011","1","3.30","4.30"
"Council on Environmental Quality","Agency Overall","2011","0","0.75","0.75"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0.50","0.50"
"Department of Housing and Urban Development","Agency Overall","2011","12","21.01","33.01"
"Federal Maritime Commission","Agency Overall","2011","0","1.03","1.03"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","8","5.00","13.00"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0.25","0.25"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","1.00","1.00"
"Selective Service System","Agency Overall","2011","0","0.15","0.15"
"Export-Import Bank of the U.S.","Agency Overall","2011","1","0.97","1.97"
"U.S. Department of State","Agency Overall","2011","87","63.54","150.54"
"Central Intelligence Agency","Agency Overall","2011","12","40.00","52.00"
"Federal Communications Commission","Agency Overall","2011","2","15.80","17.80"
"National Transportation Safety Board","Agency Overall","2011","3","3.75","6.75"
"United States Trade and Development Agency","Agency Overall","2011","0","0.15","0.15"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","1.50","1.50"
"Department of Transportation","Agency Overall","2011","37","55.66","92.66"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0.00","0.00"
"Department of Homeland Security","Agency Overall","2011","322","66.54","388.54"
"Office of National Drug Control Policy","Agency Overall","2011","0","0.20","0.20"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0.12","0.12"
"Office of Science and Technology Policy","Agency Overall","2011","0","0.70","0.70"
"United States International Trade Commission","Agency Overall","2011","0","1.50","1.50"
"Equal Employment Opportunity Commission","Agency Overall","2011","31","6.06","37.06"
"Federal Housing Finance Agency","Agency Overall","2011","3","0.32","3.32"
"National Aeronautics and Space Administration","Agency Overall","2011","16","11.00","27.00"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0.60","0.60"
"Overseas Private Investment Corporation","Agency Overall","2011","0","1.20","1.20"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0.02","0.02"
"Department of Education","Agency Overall","2011","12","13.85","25.85"
"Department of Veterans Affairs","Agency Overall","2011","52","187.78","239.78"
"National Railroad Passenger Corporation","Agency Overall","2011","1","0.50","1.50"
"Institute of Museum and Library Services","Agency Overall","2011","0","0.15","0.15"
"Surface Transportation Board","Agency Overall","2011","0","0.21","0.21"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","1.95","1.95"
"Securities and Exchange Commission","Agency Overall","2011","29","8.50","37.50"
"Department of Justice","Agency Overall","2011","438","90.65","528.65"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0.25","0.25"
"Armed Forces Retirement Home","Agency Overall","2011","0","0.00","0.00"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0.04","0.04"
"Office of Management and Budget","Agency Overall","2011","1","1.50","2.50"
"U.S. Agency for International Development","Agency Overall","2011","11","2.00","13.00"
"Federal Energy Regulatory Commission","Agency Overall","2011","1","3.65","4.65"
"Court Services and Offender Supervision Agency","Agency Overall","2011","3","0.00","3.00"
"National Capital Planning Commission","Agency Overall","2011","0","0.20","0.20"
"Legal Services Corporation","Agency Overall","2011","0","0.75","0.75"
"Office of Special Counsel","Agency Overall","2011","1","0.60","1.60"
"Merit Systems Protection Board","Agency Overall","2011","1","8.00","9.00"
"National Endowment for the Arts","Agency Overall","2011","0","0.60","0.60"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","1.00","1.00"
"Millennium Challenge Corporation","Agency Overall","2011","0","0.15","0.15"
"Department of Defense","Agency Overall","2011","538","497.28","1035.28"
"Inter-American Foundation","Agency Overall","2011","0","0.05","0.05"
"Farm Credit Administration","Agency Overall","2011","0","1.00","1.00"
"American Battle Monuments Commission","Agency Overall","2011","0","0.02","0.02"
"National Credit Union Administration","Agency Overall","2011","0","1.29","1.29"
"Federal Labor Relations Authority","Agency Overall","2011","0","1.06","1.06"
"National Archives and Records Administration","Agency Overall","2011","0","36.00","36.00"
"Department of Energy","Agency Overall","2011","36","51.70","87.70"
"Office of Personnel Management","Agency Overall","2011","22","6.60","28.60"
"Department of Commerce","Agency Overall","2011","12","35.97","47.97"
"Department of Agriculture","Agency Overall","2011","67","295.82","362.82"
"Federal Reserve System","Agency Overall","2011","6","10.00","16.00"
"Office of Government Ethics","Agency Overall","2011","0","1.50","1.50"
"Small Business Administration","Agency Overall","2011","2","12.00","14.00"
"General Services Administration","Agency Overall","2011","3","5.00","8.00"
"National Mediation Board","Agency Overall","2011","0","0.40","0.40"
"Federal Election Commission","Agency Overall","2011","0","1.00","1.00"
"Peace Corps","Agency Overall","2011","0","0.85","0.85"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0.25","0.25"
"National Indian Gaming Commission","Agency Overall","2011","1","1.00","2.00"
"Administrative Conference of the United States","Agency Overall","2011","0","0.06","0.06"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0.50","0.50"
"Commodity Futures Trading Commission","Agency Overall","2011","1","0.33","1.33"
"National Labor Relations Board","Agency Overall","2011","2","6.00","8.00"
"Federal Deposit Insurance Corporation","Agency Overall","2011","8","9.00","17.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0","0.27","0.27"
"National Endowment for the Humanities","Agency Overall","2011","0","2.20","2.20"
"Federal Trade Commission","Agency Overall","2011","2","4.61","6.61"
"United States African Development Foundation","Agency Overall","2011","0","0.04","0.04"
"Nuclear Regulatory Commission","Agency Overall","2011","8","7.00","15.00"
"Postal Regulatory Commission","Agency Overall","2011","0","0.50","0.50"
"Recovery Accountability and Transparency Board","Agency Overall","2011","1","0.25","1.25"
"Office of the Director of National Intelligence","Agency Overall","2011","1","1.00","2.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","1.00","1.00"
"Environmental Protection Agency","Agency Overall","2011","51","76.91","127.91"
"Social Security Administration","Agency Overall","2011","23","60.00","83.00"
"Department of Labor","Agency Overall","2011","39","112.94","151.94"
"Federal Open Market Committee","Agency Overall","2011","0","0.93","0.93"
"Department of the Interior","Agency Overall","2011","47","102.63","149.63"
"National Science Foundation","Agency Overall","2011","0","3.87","3.87"
"United States Copyright Office","Agency Overall","2011","0","0.89","0.89"
"Consumer Product Safety Commission","Agency Overall","2011","10","4.00","14.00"
"United States International Boundary and Water Commission","Agency Overall","2011","0","0.50","0.50"
"All agencies","Agency Overall","2011","2175","2221.25","4396.25"