"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Department of Veterans Affairs","Agency Overall","2022","81","4"
"Central Intelligence Agency","Agency Overall","2022","680","7"
"Commission of Fine Arts","Agency Overall","2022","0","0"
"National Science Foundation","Agency Overall","2022","0","326"
"Department of Justice","Agency Overall","2022","1760","37643"
"Federal Maritime Commission","Agency Overall","2022","0","12"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0"
"General Services Administration","Agency Overall","2022","15","639"
"Occupational Safety and Health Review Commission","Agency Overall","2022","4","91"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","1","0"
"Office of Science and Technology Policy","Agency Overall","2022","7","0"
"United States Trade and Development Agency","Agency Overall","2022","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","2","5505"
"Court Services and Offender Supervision Agency","Agency Overall","2022","4","25"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0"
"Marine Mammal Commission","Agency Overall","2022","0","110"
"Appraisal Subcommittee","Agency Overall","2022","0","25"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0"
"Office of Management and Budget","Agency Overall","2022","14","200"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","12"
"Federal Housing Finance Agency","Agency Overall","2022","3","21"
"United States Postal Service","Agency Overall","2022","159","7027"
"Department of the Interior","Agency Overall","2022","3608","4535"
"Tennessee Valley Authority","Agency Overall","2022","30","39"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0"
"Presidio Trust","Agency Overall","2022","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","739","20"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","4","0"
"U.S. Department of State","Agency Overall","2022","6233","0"
"Farm Credit Administration","Agency Overall","2022","0","12"
"U.S. Commission on Civil Rights","Agency Overall","2022","1","1"
"Social Security Administration","Agency Overall","2022","26","0"
"National Indian Gaming Commission","Agency Overall","2022","52","0"
"United States African Development Foundation","Agency Overall","2022","0","0"
"National Credit Union Administration","Agency Overall","2022","8","450"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","1","16"
"U.S. Election Assistance Commission","Agency Overall","2022","6","35"
"Federal Deposit Insurance Corporation","Agency Overall","2022","8","310"
"Office of National Drug Control Policy","Agency Overall","2022","5","14"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0"
"Council on Environmental Quality","Agency Overall","2022","4","11"
"Merit Systems Protection Board","Agency Overall","2022","10","586"
"Office of Special Counsel","Agency Overall","2022","45","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","0"
"Peace Corps","Agency Overall","2022","22","200"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","10","339"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","1"
"Federal Trade Commission","Agency Overall","2022","260","0"
"Department of Labor","Agency Overall","2022","1452369","118"
"Federal Communications Commission","Agency Overall","2022","7","3515994"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","103","210"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0"
"United States International Trade Commission","Agency Overall","2022","0","326"
"Institute of Museum and Library Services","Agency Overall","2022","2","1261"
"National Labor Relations Board","Agency Overall","2022","771","23063"
"Denali Commission","Agency Overall","2022","0","0"
"Federal Reserve System","Agency Overall","2022","3","14"
"Inter-American Foundation","Agency Overall","2022","2","146"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","19","22"
"National Transportation Safety Board","Agency Overall","2022","8133","1782"
"Federal Financial Institutions Examination Council","Agency Overall","2022","2","23"
"National Archives and Records Administration","Agency Overall","2022","65","204940986"
"Selective Service System","Agency Overall","2022","4","35"
"United States Copyright Office","Agency Overall","2022","0","0"
"Department of Transportation","Agency Overall","2022","200","3034"
"Office of the Director of National Intelligence","Agency Overall","2022","50","11"
"Social Security Advisory Board","Agency Overall","2022","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","651"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","83"
"Department of Agriculture","Agency Overall","2022","456","38417"
"Farm Credit System Insurance Corporation","Agency Overall","2022","8","0"
"Department of Housing and Urban Development","Agency Overall","2022","124579","0"
"Department of Energy","Agency Overall","2022","23","1001"
"Department of Health and Human Services","Agency Overall","2022","1394","21352"
"Office of Personnel Management","Agency Overall","2022","0","501"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","5","490"
"National Council on Disability","Agency Overall","2022","0","56"
"Small Business Administration","Agency Overall","2022","56","173"
"Armed Forces Retirement Home","Agency Overall","2022","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","36","56"
"Consumer Product Safety Commission","Agency Overall","2022","0","100"
"Department of Defense","Agency Overall","2022","8235","312350"
"Federal Election Commission","Agency Overall","2022","590","215"
"Equal Employment Opportunity Commission","Agency Overall","2022","7","7797"
"Federal Open Market Committee","Agency Overall","2022","268","31"
"Environmental Protection Agency","Agency Overall","2022","110672","0"
"U.S. Railroad Retirement Board","Agency Overall","2022","10","0"
"Administrative Conference of the United States","Agency Overall","2022","6","581"
"Commodity Futures Trading Commission","Agency Overall","2022","7","20"
"U.S. Commission for the Preservation of Americaâ€™s Heritage Abroad","Agency Overall","2022","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","3"
"United States Access Board","Agency Overall","2022","0","0"
"Department of Education","Agency Overall","2022","15","1863"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","1","3"
"National Mediation Board","Agency Overall","2022","1","975"
"U.S. International Development Finance Corporation","Agency Overall","2022","1","3"
"United States Institute of Peace","Agency Overall","2022","0","0"
"Securities and Exchange Commission","Agency Overall","2022","57","805166"
"American Battle Monuments Commission","Agency Overall","2022","0","0"
"United States International Boundary and Water Commission","Agency Overall","2022","0","45"
"National Endowment for the Humanities","Agency Overall","2022","131","57"
"Federal Energy Regulatory Commission","Agency Overall","2022","5","200"
"Legal Services Corporation","Agency Overall","2022","857","2844"
"Consumer Financial Protection Bureau","Agency Overall","2022","40","380"
"Department of Commerce","Agency Overall","2022","26","4140931"
"U.S. Agency for International Development","Agency Overall","2022","314","0"
"Surface Transportation Board","Agency Overall","2022","7","1000"
"Department of the Treasury","Agency Overall","2022","4165","5211"
"National Endowment for the Arts","Agency Overall","2022","0","1"
"Department of Homeland Security","Agency Overall","2022","105236","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","15"
"Office of Government Ethics","Agency Overall","2022","0","279"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","4","110"
"National Railroad Passenger Corporation","Agency Overall","2022","3","0"
"Federal Labor Relations Authority","Agency Overall","2022","10","139"
"All agencies","Agency Overall","2022","1832757","213888340"